date,Close,High,Low,Open,Vol
2011/1/21,2715.294,2746.178,2667.286,2668.677,95639038
2011/1/24,2695.72,2736.109,2690.652,2716.524,87920807
2011/1/25,2677.432,2701.044,2661.448,2691.693,69481412
2011/1/26,2708.814,2710.738,2676.769,2677.172,60750899
2011/1/27,2749.15,2753.001,2677.21,2690.825,105569163
2011/1/28,2752.75,2759.44,2733.291,2741.314,85427992
2011/1/31,2790.694,2790.921,2748.538,2751.527,91502814
2011/2/1,2798.96,2805.049,2785.296,2795.071,73350092
2011/2/9,2774.065,2804.208,2764.867,2778.701,87257788
2011/2/10,2818.163,2819.063,2760.175,2769.646,97919763
2011/2/11,2827.328,2835.411,2807.605,2815.119,107758171
2011/2/14,2899.134,2906.261,2828.571,2828.571,154242970
2011/2/15,2899.237,2934.467,2892.637,2900.427,152449898
2011/2/16,2923.896,2924.188,2882.549,2893.682,127805697
2011/2/17,2926.964,2939.284,2905.032,2929.255,130415498
2011/2/18,2899.792,2924.23,2890.262,2924.23,113775463
2011/2/21,2932.246,2932.82,2884.191,2886.54,118855883
2011/2/22,2855.516,2944.413,2851.62,2941.318,153004622
2011/2/23,2862.634,2868.484,2839.195,2844.99,111083059
2011/2/24,2878.603,2881.537,2854.564,2861.393,109772588
2011/2/25,2878.565,2890.324,2848.65,2876.777,100094039
2011/2/28,2905.053,2906.169,2861.817,2880.17,118705763
2011/3/1,2918.92,2931.58,2901.552,2906.285,136555048
2011/3/2,2913.808,2924.963,2883.566,2905.514,133442258
2011/3/3,2902.978,2937.557,2900.761,2918.731,150488884
2011/3/4,2942.306,2944.459,2898.084,2902.19,118277241
2011/3/7,2996.211,3000.429,2952.722,2952.722,160105884
2011/3/8,2999.942,3001.624,2976.6,2996.727,126681154
2011/3/9,3002.154,3012.044,2989.342,3002.546,124790735
2011/3/10,2957.143,2995.768,2954.367,2995.768,123799889
2011/3/11,2933.796,2966.98,2927.683,2942.419,115994480
2011/3/14,2937.627,2939.652,2914.458,2923.982,116910618
2011/3/15,2896.256,2927.984,2850.945,2927.984,154951951
2011/3/16,2930.804,2934.018,2894.252,2894.252,130777237
2011/3/17,2897.298,2935.625,2885.651,2906.955,137797827
2011/3/18,2906.886,2930.606,2900.872,2920.806,100637335
2011/3/21,2909.137,2927.073,2895.154,2913.913,96760275
2011/3/22,2919.142,2923.392,2884.751,2917.687,95117457
2011/3/23,2948.477,2950.422,2911.626,2919.016,112603475
2011/3/24,2946.706,2958.663,2942.134,2949.85,108955979
2011/3/25,2977.814,2985.083,2946.697,2948.543,136396367
2011/3/28,2984.005,3005.783,2979.196,2985.356,156016878
2011/3/29,2958.077,2994.174,2953.54,2979.865,168543246
2011/3/30,2955.771,2968.182,2935.747,2955.453,126493548
2011/3/31,2928.111,2961.63,2914.384,2954.653,108935611
2011/4/1,2967.41,2967.847,2924.394,2932.481,99844094
2011/4/6,3001.36,3005.238,2963.899,2964.212,141650613
2011/4/7,3007.909,3012.288,2990.311,3003.204,124734591
2011/4/8,3030.021,3031.097,2998.34,3005.368,114337794
2011/4/11,3022.746,3059.568,3019.886,3037.91,147189576
